stock_symbol,company_name,abbreviation,sector_id,address,chairman,general_manager,spokesperson,spokesperson_title,founding_date,otc_listed_date,outstanding_common_shares,private_placement_common_shares,preferred_shares,common_stock_dividend_frequency,common_stock_dividend_decision_level,accounting_firm,accountant_1,accountant_2,website
6953,家碩科技股份有限公司,家碩,1,新竹縣竹北市嘉豐十一路一段117號,邱銘乾,詹印豐,劉孟娟,業務部經理,2016-07-18,2024-05-13,30014600,0,0,每年,董事會,勤業眾信聯合會計師事務所,曾建銘,王攀發,https://www.gdauto.com.tw
6967,汎瑋材料科技股份有限公司,汎瑋材料,13,臺中市西屯區協和里工業區38路185之2號,李家旺,李輝祥,李輝祥,總經理,1992-03-03,2024-09-25,24904477,0,0,每年,董事會,勤業眾信聯合會計師事務所,李麗凰,陳重成,https://www.trans-sun.com.tw/
6968,萬達寵物事業股份有限公司,萬達寵物,25,台北市中山區長安東路1段23號4樓之3,陳樂維,李俊廣,王湘志,協理,2011-06-20,2024-08-14,43630000,0,0,每年,股東會,資誠聯合會計師事務所,葉翠苗,黃世鈞,https://www.wonderpet.asia/
6982,大井泵浦工業股份有限公司,大井泵浦,11,新北市三芝區大片頭83之14號,黃景豐,黃錦雲,張登溪,財務長,1978-04-11,2024-12-18,40349100,0,0,每年,股東會,資誠聯合會計師事務所,陳晉昌,廖福銘,https://www.walruspump.com
6996,力領科技股份有限公司,力領科技,1,新竹縣竹北市台元一街5號6樓之9,毛穎文,毛穎文(暫代),楊尚仁,業務 副處長,2009-12-11,2024-12-10,41919333,0,0,每年,董事會,勤業眾信聯合會計師事務所,張雅芸,蔡美貞,https://www.forcelead.com.tw/zh/index-zh/
6997,博弘雲端科技股份有限公司,博弘,17,臺北市中山區樂群二路267號5樓之8,井琪,何冠生,何冠生,總經理,2006-10-13,2024-12-16,22100500,0,0,每年,股東會,勤業眾信聯合會計師事務所,陳彥君,趙永祥,https://www.nextlink.cloud/
7402,邑錡股份有限公司,邑錡,2,台北市內湖區洲子街105及107號4樓,陳世哲,陳世哲,周裕欽,品牌行銷部經理,2003-11-06,2015-12-29,35229421,0,0,每年,股東會,勤業眾信聯合會計師事務所,張正修,簡明彥,www.brinno.com
7556,意德士科技股份有限公司,意德士科技,1,台北市民生東路二段170號4樓,闕聖哲,闕聖哲,莊雅月,副總經理,1999-07-15,2020-10-30,25256822,0,0,每年,董事會,安侯建業聯合會計師事務所,楊樹芝,洪士剛,www.yeedex.com.tw
7584,樂意傳播股份有限公司,樂意,35,新北市新店區北新路三段205-3號9樓,梁敏永,梁敏永,梁敏永,執行長,2012-06-13,2024-07-25,16462808,0,0,每年,董事會,安侯建業聯合會計師事務所,傅泓文,洪士剛,www.mangot5.com
7642,昶瑞機電股份有限公司,昶瑞機電,11,臺中市龍井區台西南路272號,蔡翔如,楊偉成,呂志峰,財務部經理,2011-09-23,2025-05-22,30150000,0,0,每年,董事會,安永聯合會計師事務所,羅文振,陳明宏,www.champ-ray.com
7703,銳澤實業股份有限公司,銳澤,14,新竹縣竹北市嘉豐南路二段76號9樓之1,梁進利,周谷樺,周谷樺,總經理,2007-11-20,2024-11-13,34745000,0,0,每年,董事會,安侯建業聯合會計師事務所,呂倩慧,陳政學,https://www.rayzher.com.tw/
7704,明遠精密科技股份有限公司,明遠精密,1,新竹縣竹北市中和街191巷31號,寇崇善,焦元煜,洪本原,營運長,2010-09-21,2024-12-16,33603304,0,0,每年,董事會,勤業眾信聯合會計師事務所,林政治,林心彤,https://www.finesse-tech.com/
